subject,predicate,object
집행위 조사,관보 공고일로부터 최대 14개월 이내,종료 시한
집행위 조사,조사 개시 후 8개월 내,반덤핑 잠정 관세 부과 가능 시점
관련 기업,관보 공고일로부터 37일 이내,업계 의견 제출 기한
관련 기업,2024년 08월 06일,업계 의견 제출 마감일
관련 기업,2024년 07월 15일,EU 집행위 공청회 신청 기한
EU 집행위,조사 대상,중국산 에폭시수지 원자재 왜곡 여부
EU 집행위,7월 15일,중국 생산기업 정보 제출 기한
EU 집행위,요구 정보,제품 생산에 사용된 원자재 관련 정보
EU 집행위,요구 정보,제품 생산에 사용된 에너지 관련 정보
한국산 에폭시수지,규제 대상,2023년도 EU 수입
한국산 에폭시수지,품목별 1~8위 차지,수입 점유 순위
HS 382499,약 34억 달러,EU 수입 규모
HS 382499,50%,한국 수입 점유율
HS 382499,한국 1위,EU 수입국 순위
HS 390730,총 1억 6900만 달러,EU 수입 규모
HS 390730,22.80%,한국 수입 점유율
HS 390730,한국 2위,EU 수입국 순위
HS 291090,약 170만 달러,EU 수입 규모
HS 291090,2.65%,한국 수입 점유율
HS 291090,한국 8위,EU 수입국 순위
규제 대상,2023년 EU 수입,한국산 에폭시수지 품목
규제 대상 에폭시수지 품목,포함,HS 382499
규제 대상 에폭시수지 품목,포함,HS 390730
규제 대상 에폭시수지 품목,포함,HS 291090
HS 382499,포함,조제 점결제
HS 382499,포함,기타 화학공업에 따른 조제품
HS 390730,포함,에폭시수지
HS 291090,포함,에폭시페놀
HS 291090,포함,에폭세에테르
HS 291090,포함,에폭시드
HS 291090,포함,에폭시알코올
HS 382499,수입,주요국 한국
HS 382499,약 10억 달러,미국 수입
HS 382499,약 15%,미국 시장점유율
HS 382499,8억2000만 달러,중국 수입 규모
HS 382499,5억3000만 달러,영국 수입 규모
HS 382499,1억8000만 달러,스위스 수입 규모
HS 390730,1억9000만 달러,스위스 수입 규모
HS 390730,약 1.7억 달러,한국 수입 규모
HS 390730,7633만 달러,중국 수입 규모
HS 390730,6956만 달러,미국 수입 규모
HS 390730,4731만 달러,영국 수입 규모
HS 291090,1899만 달러,중국 수입 규모
HS 291090,약 29.5%,중국 수입 비중
HS 291090,1665만 달러,일본 수입 규모
HS 291090,946만 달러,스위스 수입 규모
HS 291090,556만 달러,인도 수입 규모
HS 291090,518만 달러,대만 수입 규모
HS 382499,한국 1위,국별 수입 순위
HS 382499,미국 2위,국별 수입 순위
HS 382499,중국 3위,국별 수입 순위
HS 382499,영국 4위,국별 수입 순위
HS 382499,스위스 5위,국별 수입 순위
HS 382499,"763,351,000 달러",2021년 한국 수입 규모
HS 382499,"1,963,310,000 달러",20222 한국 수입 규모
HS 382499,"3,416,228,000 달러",2023년 한국 수입 규모
HS 382499,"1,005,078,000 달러",2021년 미국 수입 규모
HS 382499,"1,060,985,000 달러",2022년 미국 수입 규모
HS 382499,"1,014,056,000 달러",2023년 미국 수입 규모
HS 382499,"898,821,000 달러",2021년 중국 수입 규모
HS 382499,"1,196,091,000 달러",2022년 중국 수입 규모
HS 382499,"822,178,000 달러",2023년 중국 수입 규모
HS 390730,스위스 1위,국별 수입 순위
HS 390730,한국 2위,국별 수입 순위
HS 390730,중국 3위,국별 수입 순위
HS 390730,미국 4위,국별 수입 순위
HS 390730,"219,976,000 달러",2021년 스위스 수입 규모
HS 390730,"221,019,000 달러",2022년 스위스 수입 규모
HS 390730,"193,052,000 달러",2023년 스위스 수입 규모
HS 390730,"198,511,000 달러",2021년 한국 수입 규모
HS 390730,"212,064,000 달러",2022년 한국 수입 규모
HS 390730,"169,000,000 달러",2023년 한국 수입 규모
HS 390730,"67,462,000 달러",2021년 중국 수입 규모
HS 390730,"88,179,000 달러",2022년 중국 수입 규모
HS 390730,"76,330,000 달러",2023년 중국 수입 규모
HS 390730,"51,125,000 달러",2021년 미국 수입 규모
HS 390730,"67,505,000 달러",2022년 미국 수입 규모
HS 390730,"69,564,000 달러",2023년 미국 수입 규모
HS 291090,중국 1위,국별 수입 순위
HS 291090,일본 2위,국별 수입 순위
HS 291090,스위스 3위,국별 수입 순위
HS 291090,인도 4위,국별 수입 순위
HS 291090,대만 5위,국별 수입 순위
HS 291090,한국 8위,국별 수입 순위
HS 291090,"24,755,000 달러",2021년 중국 수입 규모
HS 291090,"36,667,000 달러",2022년 중국 수입 규모
HS 291090,"18,997,000 달러",2023년 중국 수입 규모
HS 291090,"21,518,000 달러",2021년 일본 수입 규모
HS 291090,"24,888,000 달러",2022년 일본 수입 규모
HS 291090,"16,657,000 달러",2023년 일본 수입 규모
HS 291090,"9,710,000 달러",2021년 스위스 수입 규모
HS 291090,"8,781,000 달러",2022년 스위스 수입 규모
HS 291090,"9,461,000 달러",2023년 스위스 수입 규모
EU 반덤핑 조사 결과,발표 예상,2025년 가을 이전
기업 제출 의견,영향,집행위의 덤핑 여부 판정
기업 제출 증거,영향,집행위의 덤핑 여부 판정
관련 기업,참여,조사
관련 기업,소명,역내 산업 피해가 한국산 제품에서 비롯되지 않았음
관련 기업,유도,반덤핑 무혐의
관련 기업,유도,관세 인하
미국 상무부,2024년 04월 24일,한국산 에폭시수지 반덤핑 조사 개시 발표
미국 상무부,2024년 04월 24일,한국산 에폭시수지 상계관세 조사 개시 발표
한국산 에폭시수지,다른 국가로 확대 추세,규제
한국산 에폭시수지,주의 필요,규제
한국산 에폭시수지,필요,적극적 대응
